sikayet,temiz_sikayet
"Yaklaşık 1 yıldır Türk Telekom faturalı hattımda (Şaşmaz 10GB tarifesi, numaramın son 4 hanesi: 7166) yüksek fatura ödemekten dolayı çok rahatsızım. Karabük'te yaşıyorum ve öğrenci olduğum için bu ücretler benim için ciddi bir yük haline geldi. Her ay sabit ve yüksek bir fatura ödüyorum, ödeyemediği...","yaklaşık 1 yıldır türk telekom faturalı hattımda şaşmaz 10gb tarifesi, numaramın son 4 hanesi 7166 yüksek fatura ödemekten dolayı çok rahatsızım. karabük te yaşıyorum ve öğrenci olduğum için bu ücretler benim için ciddi bir yük haline geldi. her ay sabit ve yüksek bir fatura ödüyorum, ödeyemediği..."
"Türk Telekom ev interneti hizmetini Antalya Muratpaşa Gülgün İletişim bayisinden başlattım. Sözleşmeye göre ilk 5 ay 220 TL, sonraki 19 ay ise 480 TL olarak anlaşmamıza rağmen, Temmuz 2025 faturam 520 TL olarak geldi. Müşteri numaram: 8860338864. 09.08.2025 tarihinde bayiye gidip danışman N**** Han...","türk telekom ev interneti hizmetini antalya muratpaşa gülgün i letişim bayisinden başlattım. sözleşmeye göre ilk 5 ay 220 tl, sonraki 19 ay ise 480 tl olarak anlaşmamıza rağmen, temmuz 2025 faturam 520 tl olarak geldi. müşteri numaram 8860338864. 09.08.2025 tarihinde bayiye gidip danışman n han..."
"Merhaba, 08.08.2025 tarihinde Türk Telekom firmasından binamıza gelen ekip, binada farklı internet aboneliği olan arkadaşların ve benim kablolarımı matkapla kesmişler. Bugün defalarca Türk Telekom'u aradım, bir bilirkişiden destek ve açıklama almak istedim fakat kimse yardımcı olamadı. Bir gündür in...","merhaba, 08.08.2025 tarihinde türk telekom firmasından binamıza gelen ekip, binada farklı internet aboneliği olan arkadaşların ve benim kablolarımı matkapla kesmişler. bugün defalarca türk telekom u aradım, bir bilirkişiden destek ve açıklama almak istedim fakat kimse yardımcı olamadı. bir gündür in..."
"Evimi taşıdım, İstanbul'da oturuyorum. Aynı mahalle içinde taşındım. Türk Telekom'a internet taşıması için başvurdum, 2 aydır hâlâ 'çalışma yapıyoruz' diye bekliyorum. Yıl olmuş 2025, sözde metropol kentte yaşıyoruz. Dünya kadar aylık ücret alınıyor ama koca firma bir interneti taşıyamıyor.","evimi taşıdım, i stanbul da oturuyorum. aynı mahalle içinde taşındım. türk telekom a internet taşıması için başvurdum, 2 aydır h l çalışma yapıyoruz diye bekliyorum. yıl olmuş 2025, sözde metropol kentte yaşıyoruz. dünya kadar aylık ücret alınıyor ama koca firma bir interneti taşıyamıyor."
"Türk Telekom ev internetinde her gün kopma ve bağlantı sorunu yaşıyorum. Müşteri hizmetlerine defalarca arıza kaydı oluşturmamıza rağmen ilgilenen olmadı. Eve ekip gelip modeme ve kablolara baksın dediğimizde, ekstra ücret verirseniz olur diyorlar. Ben Türk Telekom'a geçmeden önce Turkcell kullanıyo...","türk telekom ev internetinde her gün kopma ve bağlantı sorunu yaşıyorum. müşteri hizmetlerine defalarca arıza kaydı oluşturmamıza rağmen ilgilenen olmadı. eve ekip gelip modeme ve kablolara baksın dediğimizde, ekstra ücret verirseniz olur diyorlar. ben türk telekom a geçmeden önce turkcell kullanıyo..."
"Türk Telekom mobil hattımın taahhüdünün bitmesine 18 gün kaldı. Güncel faturam 347 TL, yeni taahhüt yaparsam yeni faturam 471 TL olacak. Yeni paket içeriği 25 GB internet, 1500 dakika, 250 SMS. Hattımı başka tarifeye taşımak istiyorum. Türk Telekom bana 18 gün kalan taahhüt sürem için 1280 TL cayma ...","türk telekom mobil hattımın taahhüdünün bitmesine 18 gün kaldı. güncel faturam 347 tl, yeni taahhüt yaparsam yeni faturam 471 tl olacak. yeni paket içeriği 25 gb internet, 1500 dakika, 250 sms. hattımı başka tarifeye taşımak istiyorum. türk telekom bana 18 gün kalan taahhüt sürem için 1280 tl cayma ..."
"Türk Telekom iş yeri internetiyle ilgili olarak, bana ait olmayan bir firmanın yeni üyelik bilgileri ve farklı müşteri numaraları birkaç kez mail adresime gönderildi. Bu maillerde, bana ait olmayan firma adı ve müşteri numarası gibi bilgiler ile birlikte kişisel veriler de yer alıyor. Benim mail adr...","türk telekom iş yeri internetiyle ilgili olarak, bana ait olmayan bir firmanın yeni üyelik bilgileri ve farklı müşteri numaraları birkaç kez mail adresime gönderildi. bu maillerde, bana ait olmayan firma adı ve müşteri numarası gibi bilgiler ile birlikte kişisel veriler de yer alıyor. benim mail adr..."
"Yaklaşık 20 gündür Kocaeli Gebze Köşklüçeşme Mahallesi adresinde Türk Telekom mobil hattımda ciddi çekim problemi yaşıyorum. Evime gelen diğer Türk Telekom kullanıcılarında da aynı sorun mevcut. Bu süreçte 4 defa müşteri hizmetleriyle görüştüm, ancak 2 görüşme hat çekmemesi nedeniyle yarıda kesildi....","yaklaşık 20 gündür kocaeli gebze köşklüçeşme mahallesi adresinde türk telekom mobil hattımda ciddi çekim problemi yaşıyorum. evime gelen diğer türk telekom kullanıcılarında da aynı sorun mevcut. bu süreçte 4 defa müşteri hizmetleriyle görüştüm, ancak 2 görüşme hat çekmemesi nedeniyle yarıda kesildi...."
Türk Telekom mobil hat sahibiyim. 18 günlük taahhüt sürem kaldı. Farklı bir operatöre geçmek için cayma bedelimi öğrenmek istiyorum 3 günden beri ancak kesinlikle bilgi verilmiyor. 40 küsur gün kala aradığımda kuruşu kuruşuna kadar söyleyen firma 3 gündür sistemde böyle bilgi olmadığını söylüyor. Ac...,türk telekom mobil hat sahibiyim. 18 günlük taahhüt sürem kaldı. farklı bir operatöre geçmek için cayma bedelimi öğrenmek istiyorum 3 günden beri ancak kesinlikle bilgi verilmiyor. 40 küsur gün kala aradığımda kuruşu kuruşuna kadar söyleyen firma 3 gündür sistemde böyle bilgi olmadığını söylüyor. ac...
"Digiturk Tarafından Aldatıldım – Türk Telekom Aboneliğim Halen Devam Ediyor! 24 Haziran 2025 tarihinde Digiturk internet hizmeti için başvuru yaptım. Satış sırasında mevcut internet sağlayıcımdan kolayca geçiş yapabileceğim ve ekstra bir işlem yapmama gerek olmadığı, Digiturk’ün birlikte çalıştığı ...","digiturk tarafından aldatıldım türk telekom aboneliğim halen devam ediyor! 24 haziran 2025 tarihinde digiturk internet hizmeti için başvuru yaptım. satış sırasında mevcut internet sağlayıcımdan kolayca geçiş yapabileceğim ve ekstra bir işlem yapmama gerek olmadığı, digiturk ün birlikte çalıştığı ..."
